"path_03"	"X770286.BAL.LUL.Inv.V1"	"X770328.BAL.RML.Inv.V1"	"X770328.BAL.RUL.Inv.V2"	"X770341.BAL.RUL.inv.V1"	"X770341.BAL.RUL.Inv.V1"	"X770359.BAL.RLL.Inv.V1"	"X770359.BAL.RLL.Inv.V2"	"X770365.BAL.RUL.Inv.V1"	"X770384.BAL.LUL.Inv.V1"	"X770389.BAL.RML.Inv.V1"	"X770396.BAL.RUL.Inv.V1"	"X770396.UNIV.0234.BAL.RML.Inv.V2"	"X770402.BAL.RUL.Inv.V1"	"X770402.BAL.RUL.Inv.V2"	"X770406.BAL.LLL.Inv.V1"	"X770418.BAL.LUL.Inv.V1"	"X770420.BAL.LUL.inv.V1"	"X770450.BAL.LLL.inv.V1"	"X770464.BAL.LLL.Inv.V1"	"X770467.BAL.RML.Inv.V1"	"X770468.BAL.Lingula.Inv.V1"	"X770468.BAL.RML.inv.V1"	"X770468.BAL.RML.Inv.V2"	"X770471.BAL.RML.Inv.V1"	"X770473.BAL.RLL.Inv.V1"	"X770476.BAL.RML.Inv.V1"	"X770478.BAL.RUL.Inv.V1"	"X770483.BAL.RUL.Inv.V1"	"X770483.BAL.RUL.Inv.V2"	"X770485.BAL.RML.Inv.V2"	"X770485.NYU.2829.BAL.Right.inv.V3"	"X770492.BAL.LUL.Inv.V1"	"X770493.BAL.LUL.Inv.V1"	"X770505.BAL.RML.Inv.V1"	"X770505.BAL.RUL.Inv.V2"	"X770513.BAL.RUL.Inv.V1"	"X770530.BAL.LUL.Inv.V1"	"X770543.BAL.RLL.Inv.V1"	"X770548.BAL.LLL.Inv.V1"	"X770551.BAL.RUL.Inv.V1"	"X770553.BAL.LUL.Inv.V1"	"X770559.BAL.RUL.Inv.V2"	"X770569.BAL.RLL.Inv.V1"	"X770572.BAL.RLL.Inv.V1"	"X770595.BAL.RLL.Inv.V1"	"X770596.BAL.RUL.Inv.V1"	"X770602.BAL.LLL.Inv.V1"	"X770610.BAL.LUL.Inv.V1"	"X770616.BAL.RML.Inv.V1"	"X770618.BAL.RUL.Inv.V1"	"X770633.BAL.RUL.Inv.V1"	"X770634.BAL.Lingula.Uninv.V1"	"X770634.BAL.RML.Inv.V1"	"X770635.BAL.RML.Inv.V1"	"X770637.BAL.RML.Inv.V1"	"X770642.BAL.Lingula.Inv.V1"	"X770653.BAL.LUL.Inv.V1"	"X770660.BAL.Lingula.Inv.V1"	"X770665.BAL.RUL.Inv.V1"	"X770666.BAL.Lingula.Inv.V1"	"X770668.BCI.0007.BAL.LUL.Inv.V1"	"X770676.BCI.0008.BAL.LUL.Inv.V1"	"X770682.BAL.RUL.INV.V1"	"X770688.BAL.LLL.Inv.V1"	"X770693.BAL.RUL.Inv.V1"	"X770697.BAL.RUL.Inv.V1"	"X770702.BAL.RUL.Inv.V1"	"X770704.BAL.LUL.Inv.V1"	"X770705.BAL.Lingula.Inv.V1"	"X770708.BAL.RUL.Inv.V1"	"X770713.BAL.RUL.Inv.V1"	"X770733.BAL.LUL.Inv.V1"	"X770745.BAL.RUL.Inv.V1"	"X770750.BAL.RLL.Inv.V1"	"X770753.BAL.RLL.Inv.V1"	"X770755.BAL.RLL.Inv.V1"	"X770758.BAL.RUL.INV.V1"	"X770761.BAL.RUL.Inv.V1"	"X770767.BAL.RML.Inv.V2"	"X770767.BAL.RUL.Inv.V1"	"X770767.BKG.V1"	"X770767.Supraglottic.V1"	"X770777.BAL.RUL.Inv.V1"	"X770777.BKG.V1"	"X770777.Supraglottic.V1"	"X770779.BAL.RML.Inv.V2"	"X770779.BAL.RUL.Inv.V1"	"X770779.BKG.V2"	"X770779.Supraglottic.V1"	"X770779.Supraglottic.V2"	"X770780.BAL.LUL.Inv.V1"	"X770780.Supraglottic.V1"	"X770785.BAL.RUL.Inv.V1"	"X770785.Supraglottic.V1"	"X770798.BAL.LUL.Inv.V1"	"X770798.Supraglottic.V1"	"X770800.LC2790.BAL.RUL.Inv.V1"	"X770800.LC2790.BKG.V1"	"X770800.LC2790.Supraglottic.V1"	"X770803.BAL.RUL.Inv.V1"	"X770805.BAL.RLL.Inv.V1"	"X770808.BCI.0016.BAL.RML.Inv.V1"	"X770842.BAL.RML.Inv.V1"	"X770842.BKG.V1"	"X770842.Supraglottic.V1"	"X770844.BAL.RLL.Inv.V1"	"X770844.BKG.V1"	"X770844.Supraglottic.V1"	"X770861.BAL.RUL.Inv.V1"	"X770861.BKG.V1"	"X770861.Supraglottic.V1"	"X770862.BCI.0017.BAL.RML.Inv.V1"	"X770862.BCI.0017.Supraglottic.V1"	"X770863.BAL.Lingula.Inv.V1"	"X770863.Supraglottic.V1"	"X770864.BAL.RML.Inv.V1"	"X770864.Supraglottic.V1"	"X770870.BAL.RML.Inv.V1"	"X770870.Supraglottic.V1"	"X770882.LCL.011.BAL.RUL.Inv.V1"	"X770882.LCL.011.Supraglottic.V1"	"X770920.BCI.019.BAL.RUL.Inv.V1"	"X770925.BAL.RLL.Inv.V1"	"X770927.BAL.RUL.Inv.V1"	"X770929.BAL.RML.Inv.V1"	"X770944.BAL.RML.Inv.V1"	"X770944.BKG.V1"	"X770944.Supraglottic.V1"	"X770946.BAL.RML.Inv.V1"	"X770946.BKG.V1"	"X770946.Supraglottic.V1"	"X770947.BAL.RML.Inv.V1"	"X770947.BKG.V1"	"X770947.Supraglottic.V1"	"X770955.BAL.RML.Inv.V1"	"X770962.BAL.RLL.Inv.V1"	"X770962.Supraglottic.V1"	"X770973.BAL.LUL.Inv.V1"	"X770978.BAL.RUL.Inv.V1"	"UNIV.0042.BAL.RUL.Inv.V1"	"UNIV.0044.BAL.RUL.Inv.V1"	"UNIV.0172.BAL.RLL.Inv.V1"	"UNIV.0311.LC.BAL.RLL.Inv.V1"	"UNIV.0384.BAL.LLL.Inv.V1"	"UNIV.0402.BAL.RML.UnInv.V1"	"UNIV.0419.BAL.LUL.Inv.V1"
"Endocrine resistance"	350305	387362	333654	16130	71848	222446	225089	441760	149196	346344	142783	207768	364585	2173	134588	196184	107047	138249	284661	403557	187087	358767	139717	92500	207671	115385	256057	247641	98768	184332	73498	213937	241525	161329	401779	216888	93697	147363	198673	222150	253543	143801	251974	107657	355245	201706	237960	141451	174384	161338	298508	133568	166780	340684	14557	226423	64505	232422	67531	511758	166934	250603	591350	43359	230603	247707	187924	430937	71522	131500	254998	1005014	336012	164423	294499	290323	427364	250165	228480	305605	20	7858	157284	4	27446	44529	173640	188	1122	116	144042	8106	335205	36	110484	604	173931	44	43982	304246	47328	366408	179501	0	914	196185	14	3916	191409	4	1644	188327	2122	157976	67340	206293	35621	178500	22462	19606	482	313153	192696	189564	49795	241024	20	34502	221369	10	7720	168276	4	234	253672	110680	4062	207722	377196	257964	355601	19354	110487	40727	4902	242208
"Endocytosis"	2061854	1202119	1191462	5738	239109	836629	869603	1907030	482793	976200	676146	974390	1161850	52220	717797	659566	493966	463216	1439717	1191153	728335	1152195	680267	474297	1056420	441012	1287382	1346318	449297	779545	254258	979550	820017	774271	1689952	901044	301604	421036	542417	852396	737260	494133	1284433	447346	949560	683795	734978	602811	574232	687588	1260487	394854	620139	1428581	23414	513077	107858	1097136	165144	1452419	694619	513563	3170810	125075	759161	946958	1198528	2401843	332408	489877	908835	3502914	1443476	805779	1010264	1138240	1330976	986517	814716	1105513	28	15852	670251	16	118825	149502	771114	8	4596	4	736051	36794	1029779	2360	479675	1764	736259	114	186058	1416502	266854	1434497	656143	30	9152	609167	36	9934	860987	4	4882	577020	3772	670021	396689	765060	129648	665909	112198	102920	3998	1208657	683096	660844	143774	1369606	6	160974	1112643	24	23085	766461	20	1248	1315130	430324	16966	678266	2066527	848093	1945683	162802	652503	142745	18224	1248169
"Endometrial cancer"	313427	201932	284647	11436	61302	137326	145207	270260	80579	211257	92894	122444	170204	5882	68005	105965	109051	84907	115387	277650	105809	195916	91364	51900	147734	83698	159543	209211	41404	66554	35766	125930	174773	120675	199545	121654	59300	58285	117020	141665	144776	111207	170844	93163	215718	104598	145238	71552	101860	107116	199789	84750	109023	199731	16904	92456	37486	145618	27997	300382	109230	137482	391094	26496	167651	160363	182499	260087	42118	93908	186165	648075	216916	96211	180901	179994	270162	251051	159484	197257	12	3234	126798	4	23676	24703	119633	2	502	122	97501	9114	208545	174	53566	240	88640	4	39013	195078	41496	260592	96609	4	774	143352	12	908	109376	0	572	160622	398	122405	56794	156280	26889	144921	20232	14794	526	225029	127012	115786	39861	167506	16	24464	175043	10	4346	121248	2	216	161157	82944	4666	116274	241728	93270	243850	32015	94125	27567	4808	169252
"Endoplasmic reticulum membrane and cytosol"	181810	168054	89871	250	13673	89124	66530	125668	34328	78456	68062	90578	78256	1118	51948	92257	51784	35727	120246	102827	58730	125145	48296	42310	79915	44416	138638	122467	29659	60462	17360	55697	97736	82934	187481	66902	28887	33330	69130	65814	85868	52617	205256	22656	78774	46386	54670	33923	55062	73780	126155	26586	83728	84722	18	47024	4882	96380	11382	161587	41674	56414	261686	17650	58068	116426	87295	259471	8728	29386	130762	331711	121233	64188	86883	147818	98271	81290	53290	107291	2	412	37404	0	2734	6888	39672	0	90	0	43016	2964	59527	90	35552	192	85079	0	23884	110384	24076	135850	47988	0	702	63503	0	438	83096	0	286	39560	476	52593	56041	83222	11720	32210	7614	4462	122	108259	65039	54194	10296	156958	0	16884	184598	0	1298	67442	4	0	153016	21762	642	63398	213144	83227	179266	10768	58720	15308	1412	105234
"Endosomal sorting complexes required for transport (ESCRT)"	96575	130138	85834	1484	29908	82390	62442	183212	56523	106276	65524	68950	107069	2166	57503	77194	31461	50649	100057	129661	58642	89716	52177	35682	70988	33758	77010	124453	44651	82854	23986	74460	76532	48336	75272	76663	15298	49867	46482	95137	61022	56048	72147	60813	102711	61063	60656	65747	50138	45200	150166	47978	71173	118807	7598	106574	3966	84452	11080	122006	76081	48876	279332	11997	59246	80795	74557	170081	19004	37131	81712	332379	125794	59837	108968	89436	171892	105157	70370	122142	0	1246	61626	0	18212	12009	99710	2	216	0	60215	6608	91611	1386	41714	358	64736	4	18266	119004	22204	148101	59315	0	1216	56434	6	826	64274	0	564	48658	500	54886	54080	73071	8285	96724	21036	10586	128	88064	79370	64326	16272	96738	0	21782	79198	0	2120	62386	0	4	86610	53235	3574	43852	131514	50564	144348	36804	37036	21104	1258	114230
"Energy metabolism"	16376	5858	10870	0	490	16110	6302	18842	8534	10792	7380	5295	13543	0	5534	5817	11452	4958	1272	40034	9064	10720	9156	6410	10731	2828	9030	11928	1676	5064	4772	13012	7060	5189	16682	6082	7134	31438	2482	10279	9530	962	6424	10054	27996	17062	15920	6766	7634	6246	32172	16254	19127	15458	8	16290	20	11668	1044	29174	13116	10100	30648	2226	5218	15244	13490	11372	56	2598	10048	67365	17402	26500	39878	8808	54906	4295	4530	7796	0	4	6126	0	262	1042	24621	0	0	0	7011	10	22919	0	4726	0	14876	0	320	23686	2158	54394	8923	0	0	4378	0	254	14144	0	12	5160	8	9817	140	9636	6	5630	24	362	0	6764	20100	15120	1914	8116	0	172	9007	0	0	10190	0	0	4408	6947	0	19392	12986	2480	18182	316	2244	968	0	10918
"Enzymes"	12888	7804	74	596	2142	786	8932	36254	108	9996	502	8074	2578	0	27660	7254	1034	782	25012	6284	5130	10372	15381	7544	13632	5538	41616	37208	3542	11454	20	14735	540	21445	5718	15806	4	94	64	23230	1730	192	17794	0	8330	10842	1938	2060	8498	5268	4152	4694	1640	33423	1334	1926	2	13870	1400	18552	3026	1486	4608	2	1292	17206	1702	26493	5132	18198	3940	8986	2972	218	620	18268	5340	2612	550	850	0	264	3642	0	338	156	552	0	16	0	744	34	4600	0	1066	8	400	0	28	5604	900	144	1520	0	0	200	0	0	14568	0	0	372	28	1396	838	1664	1140	14	52	842	0	4294	20	7545	302	32922	4	242	12616	0	0	6990	0	0	26572	578	0	1792	20078	690	61348	24	3302	2	0	39796
"Enzymes with EC numbers"	227744	246033	190955	1184	42662	197001	188072	353627	124283	211157	124735	195855	245709	8809	138936	163232	95741	106809	218855	297601	153266	254391	138089	103047	173689	113323	232620	246645	35083	65882	58646	166264	277646	133384	343271	159214	102525	120562	172690	205774	161103	119958	200150	129495	247563	138565	194945	79345	128065	141002	286485	81072	167816	300636	16921	152432	12392	186347	61052	326972	169684	146465	493368	36952	155952	190139	151484	368535	31836	78620	278266	689564	285480	176644	227569	257380	303787	146663	167336	269846	0	6840	122261	10	107658	16240	110966	4	834	0	144996	18748	261834	194	79478	1496	149278	14	46120	209295	39122	354042	138225	6	5530	194352	18	2550	151788	0	1734	152955	1610	163236	229714	208098	39534	96370	95976	18506	4144	267262	115975	167336	35229	218032	10	145293	245176	8	7098	175470	2	1034	240554	85603	19268	120370	299947	145329	394644	37438	82442	27643	2270	174360
"Epithelial cell signaling in Helicobacter pylori infection"	230031	227518	316006	3052	55518	176477	177686	332181	130719	249816	139085	183954	428013	1406	147067	126137	123010	100091	294923	321159	126804	244034	128796	106694	149016	75261	182943	177798	131832	136058	61440	197123	147754	106400	337404	164923	65134	94125	101913	218095	185648	89492	178081	132019	190399	178672	189642	403378	122376	115914	285864	74350	121363	223299	1914	143295	23493	221033	36061	300386	128826	215592	470622	34517	192074	161109	175410	364116	51444	128039	155124	750006	281201	87507	182393	258838	231781	155615	161199	205250	16	15546	117558	0	27894	33142	191268	2	3456	0	721411	8252	225297	84	55380	364	96134	22	38728	273276	52562	209825	146769	12	1432	114636	14	7300	109852	0	2344	101586	6672	397805	77545	149933	84409	66501	22594	28268	3868	340449	150691	141753	32606	174506	4	33241	168494	0	5610	133268	4	1202	232107	45348	4746	116792	303205	264804	309864	96839	139314	7727	6026	181914
"Epithelial sodium channel (ENaC)"	968	9786	5186	128	4022	6014	3796	762	4758	1970	4286	101	268	0	182	6696	8035	1242	1204	16731	2292	6024	576	330	1314	1399	320	1176	4	472	750	2474	11840	444	19720	4857	6336	13898	9426	1550	10770	1966	1526	4148	5618	2582	7462	914	4402	11117	8362	2622	5120	458	14	3434	0	1456	2	29548	4996	11008	4496	440	19608	2606	540	82	0	764	11400	28000	6650	53532	522	10146	9268	2632	1550	5028	0	46	5778	0	5020	226	1352	0	0	0	8	296	2830	0	1762	6	2670	0	5268	1084	476	6314	204	0	374	5902	4	80	5590	0	12	2888	60	1493	12662	6263	656	2658	2488	44	4	6141	12137	7630	616	600	0	3882	9121	0	4	6588	0	8	318	3098	878	1137	4188	3607	6238	0	266	668	4	1124
"Epstein-Barr virus infection"	1026431	603750	752307	8554	280848	511917	713081	1301428	322996	620215	336307	719253	770673	18268	448797	569847	330389	254283	1317655	657930	494751	861558	472596	275515	520427	297736	1338205	1016837	394095	537462	115810	613367	408589	513450	1126871	617813	179739	375968	322170	713861	439013	380071	946331	290447	569776	507089	454116	530537	358160	447414	686939	241096	329251	981881	10930	358536	37174	770750	120033	1115133	496431	337796	1800734	73930	438378	653810	566491	1456628	258509	307792	477381	1889325	838172	311832	511459	756692	671929	505355	470406	517881	66	11458	361507	16	35301	99157	393343	0	3042	13508	867388	11540	539801	462	224084	726	388162	88	54867	973138	168266	688813	456185	16	1642	424141	28	7378	566956	2	2658	371026	2634	520489	105084	403650	81844	217393	29082	118956	6838	862921	371934	405807	77126	1283420	12	42898	786414	16	13856	417663	0	1884	961224	219489	4716	401941	1752018	511095	1270254	108869	420155	80387	20046	952242
"ErbB signaling pathway"	251815	300850	249989	15828	34322	159024	158338	265295	125022	209574	122136	136007	187758	4993	75755	140113	87874	77662	158909	298931	118066	222916	112447	67106	153030	91448	179970	187008	47555	121948	53784	163369	185746	126680	258346	135268	64402	92842	165154	155795	168644	122590	185910	99625	211939	160660	163846	88252	111628	137488	193154	80686	135269	216884	14927	137287	66424	175293	39089	339283	111664	158693	446496	27726	184792	162115	167816	293538	49028	99968	189107	636205	250358	138969	249477	196948	305593	179876	148738	234118	8	3486	116828	0	30404	25910	83411	2	328	118	120205	9220	262491	220	62046	456	108090	4	34878	200756	51438	256994	111636	8	584	127762	10	1106	111031	0	1006	134310	808	107855	76012	134469	32019	153015	20280	13794	502	263483	124270	127234	36540	179191	20	36144	167843	20	3492	131831	2	206	182795	74487	3636	121743	259058	137859	244055	33339	104049	27212	5574	159888
"Estrogen signaling pathway"	973782	1031032	632269	16912	153294	673969	525934	960014	318085	779059	390642	494137	825886	19634	393959	502091	360361	421559	640653	994281	465041	824867	353015	283320	470861	221996	738231	703890	251121	429966	198767	456271	684276	475802	914101	491971	205443	309040	487657	617444	558321	319224	818043	356792	687848	387259	517891	257384	406414	392804	888701	281514	457266	791885	8810	500498	138204	604850	98873	1200362	490537	489866	1573765	112737	512919	744077	633111	1294384	160343	336602	828605	2489005	819223	471992	613209	866446	955476	700046	483344	1005112	34	24114	411447	20	176000	76658	468754	192	2478	116	381268	51020	810358	4708	241828	3406	454087	62	185514	905240	144034	1051390	390932	6	15217	513469	22	15354	594695	4	6010	395369	6902	398015	695802	652988	139426	442189	192742	43136	1382	835146	479974	533274	122927	765601	16	309730	826745	14	31942	536276	8	1558	816826	260591	32254	447888	1074423	480255	1088996	82147	321185	78575	7404	677346
"Ether lipid metabolism"	54015	15821	29535	4	65816	17288	33302	34094	13572	25154	26603	30286	32207	4060	7520	14524	15323	12230	132241	41743	21430	24462	16814	16590	17902	13230	43588	34503	7283	7374	11440	38296	22376	41761	74703	15314	5450	11088	27658	37165	23882	23928	35558	3692	16619	39200	25430	45070	22792	69498	22708	11996	23919	36904	2686	9662	5222	26222	5631	54550	39251	19088	99896	1824	28746	25418	61758	66376	8070	21818	22684	77045	44908	25374	20158	42328	35362	44987	14608	21222	0	370	11866	0	1194	2012	8402	0	0	0	37718	172	17396	0	24080	0	24698	4	2458	34534	7180	32446	14422	24	62	16326	4	70	18989	0	26	19558	8	27644	3098	14276	2107	19982	606	3410	712	31641	10888	15284	5434	46974	4	1180	37273	20	0	19962	4	0	43638	4370	2	17022	89548	16390	91246	5594	10794	2108	1562	34886
"Eukaryotes"	3666312	4732522	3332138	62162	428776	2930680	1034285	6676605	2400908	4063167	1474749	2977884	4202435	112787	1349721	1889134	1855479	1750792	2111601	5944491	1596130	2039541	794509	403947	1700412	799198	947557	2815728	1322371	2529982	1473208	1651477	893980	1611231	1758848	2435187	1988234	444250	1261309	2049712	2192515	1055792	2163323	3231534	5576337	1400502	1771415	1414302	1505750	1845296	5518249	1948584	2721196	1948590	166756	5653470	27817	2494171	340828	3894414	3776302	1651508	6810911	1093299	2415298	2148563	3214722	3609871	583284	1091765	1406597	19058269	6332546	4126957	9290105	1521655	8656892	6141346	2954117	3832860	18	21158	2538979	16	35806	196865	3438739	270	3452	32	2112385	16838	6189259	8792	1648754	1386	3409921	20	181549	6204123	715336	10108999	2544774	8	6978	1418120	14	14646	2207620	4	6994	2085644	4924	1965107	79939	2339201	55270	4119354	28118	215773	9723	4399470	3542848	2321777	1208100	2464095	14	54441	1444845	10	39447	1989350	6	702	1613495	1761643	6209	4889988	3934136	1062576	1856331	221657	605720	891478	49898	4064406
"Eukaryotic Sec-SRP protein"	122770	155293	73340	308	21555	106419	68678	162151	47190	113406	64247	57289	125293	282	92812	73760	48705	35664	91399	161388	57046	86108	53727	31330	78028	18381	87640	103048	80775	110132	36564	72452	87533	61168	149893	82840	26107	25006	43178	56281	81008	52771	125248	60359	107169	69841	75188	21301	65371	62031	162445	44124	76766	90589	1322	106970	6686	96020	15281	128498	116651	55292	322898	18311	108788	94278	77535	177663	42322	46115	96840	482726	134568	85890	165286	100301	169836	121636	61040	109408	4	784	56374	0	12684	8074	112992	0	272	0	65669	2582	130927	4	56145	196	73427	8	17044	150700	30032	160700	83099	0	1280	69298	0	686	85971	0	288	55890	438	60081	33366	82150	11366	105286	12432	9501	28	107038	89327	85028	20977	114431	0	23182	86862	4	736	53324	0	10	75058	30854	1270	86947	169520	28588	121915	11750	35246	10618	7010	137748
"Eukaryotic rRNA"	656	3722	7086	0	4	340	1504	906	4844	696	2420	512	454	68	6342	310	128	422	236	1114	114	124	562	192	1680	82	1062	650	1830	2828	2272	3608	316	318	2784	1848	188	12	478	428	1626	1054	1364	20	1244	1676	230	28	1030	168	658	3138	44	362	52	438	2	3546	19460	300	2700	126	376	548	2706	88	192	24	448	2028	16	2520	152	7692	468	144	186	1226	146	3270	0	50	612	0	202	20	66	254	0	0	54	842	60	4	64	28	48	4	182	274	198	160	814	0	28	1618	0	46	258	0	164	806	0	376	52	246	788	1090	416	36	0	506	104	1022	8	1132	0	1316	64	0	172	1412	0	0	224	448	16	816	300	7116	104	112	3368	0	220	608
"Exosomal RNA"	0	8	346	0	0	348	578	2512	6052	184	444	1080	114	0	34	2592	82	32	102	284	218	1196	368	0	350	0	950	434	0	0	436	1306	498	14	8098	96	40	176	1396	80	708	36	628	10	10	232	988	1168	736	44	114	44	188	62	0	28	1274	538	12	1596	1128	1520	266	0	370	436	162	62	0	0	1158	520	0	2210	0	912	546	0	216	282	0	0	224	0	36	0	332	0	0	0	36	38	48	0	84	0	488	0	160	64	338	604	0	0	24	966	0	0	6	0	0	490	0	180	380	834	364	2	16	0	0	1500	24	1207	0	772	0	304	926	0	0	308	0	0	840	0	0	0	450	458	696	0	0	8	0	102
"Exosomal RNA of breast cancer cells"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Exosomal RNA of breast milk"	0	0	1478	0	0	502	376	834	82	1376	246	404	64	0	652	864	194	84	34	950	78	1294	58	0	74	0	590	140	0	0	134	410	152	124	3228	64	10	0	426	62	426	564	208	892	20	16	1270	1746	196	0	218	280	46	24	0	592	884	636	12	888	84	446	10	6	682	458	0	28	0	250	300	28	584	0	0	424	0	0	364	102	0	0	30	0	0	0	584	0	22	0	1488	160	0	0	2	0	410	0	14	70	512	178	84	0	28	470	0	0	0	0	0	368	0	510	158	694	212	0	4	14	0	482	110	453	0	192	0	102	470	0	0	216	0	0	238	0	0	0	268	134	186	0	142	0	0	62
"Exosomal RNA of haemopoietic cells"	0	6	0	0	0	10	300	0	5960	180	144	4	104	0	18	82	50	32	0	24	70	4	66	0	128	0	192	78	0	0	34	0	172	2	1346	0	0	0	1276	280	212	0	619	10	0	36	204	650	518	12	84	0	6	86	0	28	146	268	0	360	1124	252	264	0	276	292	162	8	0	0	166	438	0	2210	0	496	74	0	194	246	0	0	152	0	266	0	332	0	0	0	6	2	48	0	78	0	4	0	156	60	16	118	0	0	0	182	0	0	8	0	0	66	0	172	202	142	40	2	130	0	0	164	24	134	0	766	0	700	190	0	0	0	0	0	54	0	0	0	280	658	596	0	0	8	0	30
"Exosomal RNA of hepatic cancer cells"	0	2	0	0	350	14	62	30	22	4	6	0	6	0	0	0	28	0	60	88	0	496	774	2	0	0	8	12	0	0	0	0	14	0	228	0	0	92	4	0	70	0	0	0	0	234	50	188	32	32	22	198	22	18	0	0	26	216	0	22	4	52	0	0	0	220	0	0	0	0	168	14	156	0	0	26	0	0	108	218	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	4	126	68	0	46	0	0	162	2	0	0	0	0	114	0	8	0	12	28	0	0	4	0	190	4	0	0	0	0	0	96	0	0	58	0	0	150	0	0	52	140	42	212	0	0	0	0	0
"Exosomal RNA of hepatic cells"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Exosomal RNA of lung cancer cells"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Exosomal RNA of melanoma cells"	0	0	0	0	0	680	0	0	384	0	0	0	2	0	0	0	0	226	0	108	74	8	0	0	0	0	0	0	0	0	0	0	432	0	24	60	376	0	0	0	74	170	0	3491	1188	0	36	0	20	0	190	0	20	1274	0	0	0	774	0	498	12	68	0	0	0	2	0	0	0	0	296	74	0	4	0	54	200	0	0	344	0	0	54	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	292	0	616	0	0	0	124	0	0	0	0	0	60	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	26	146	130	0	0	0	0	2
"Exosomal RNA of muscle cells"	0	0	0	0	0	0	124	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	144	0	0	0	28	0	0	0	0	28	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Exosomal RNA of neural cells"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Exosomal RNA of other cancer cells"	0	0	0	0	0	0	38	0	0	2	0	0	32	0	6	0	30	0	0	126	0	102	0	0	0	0	0	0	0	0	0	0	10	0	322	0	0	0	42	0	72	0	30	0	0	0	14	208	56	0	0	0	0	0	0	0	0	0	0	24	0	18	0	0	0	130	0	0	0	0	12	0	0	0	0	2	304	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	20	0	64	0	0	0	4	114	0	0	2	0	0	78	0	4	0	2	14	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	114	20	0	0	0	0	0	0
